Year,u,h,,,,,,,h,j,Year,u,j,h,j
0,72148,0.18847,,,,,,,,,,,,,
1,73793,0.14974,,,,,,,,,,,,,
2,74082,0.21921,,,,,,,,,,,,,
3,92912,0.17678,,,,,,,,,,,,,
4,82323,0.28203,,,,,,,,,,,,,
5,59073,0.34528,,,,,,,,,,,,,
6,59920,0.20655,,,,,,,,,,,,,
7,48789,0.33819,,,,,,,,,,,,,
8,70638,0.14724,,,,,,,,,,,,,
9,67462,0.19757,,,,,,,,,,,,,
10,68702,0.23154,,,,,,,,,,,,,
11,61191,0.2086,,,,,,,,,,,,,
12,49599,0.33565,,,,,,,,,,,,,
13,46266,0.29534,,,,,,,,,,,,,
14,34877,0.33185,,,,,,,,,,,,,
15,28827,0.35039,,,,,,,,,,,,,
16,21980,0.2827,,,,,,,,,,,,,
17,17463,0.19928,,,,,,,,,,,,,
18,18057,0.18781,,,,,,,,,,,,,
19,22681,0.19357,,,,,,,,,,,,,
20,20196,0.18953,,,,,,,,,,,,,
21,25776,0.17011,,,,,,,,,,,,,
22,23796,0.1566,,,,,,,,,,,,,
23,19240,0.28179,,,,,,,,,,,,,
24,16495,0.25287,,,,,,,,,,,,,
25,12167,0.25542,,,,,,,,,,,,,
26,21104,0.08103,,,,,,,,,,,,,
27,18871,0.08739,,,,,,,,,,,,,
28,21241,0.08195,,,,,,,,,,,,,
29,22962,0.10518,,,,,,,,,,,,,